sample,original_reads,filtered_reads,reads_removed,pct_removed,chrV_before,chrV_after,chrV_pct_before,chrV_pct_after
joey_4C_t0_altChr5,282470,181713,100757,35.6699826530251,0,0,0.0,0.0
joey_4C_t120_altChr5,832792,406260,426532,51.21711063506854,0,0,0.0,0.0
