,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,0.0,0.0,0.1948039294097633,0.2306265687460404,0.0,0.0,0.17528454913852917,0.0,0.0,0.0,0.0,0.1946356456884133,0.0,0.0,0.18724058466439403,0.0
IV,0.0,0.0,0.2306265687460404,0.2730366598493591,0.0,0.0,0.20751775513204634,0.0,0.0,0.0,0.0,0.23042733920612118,0.0,0.0,0.22167239491518909,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.17528454913852917,0.20751775513204634,0.0,0.0,0.15772101343022282,0.0,0.0,0.0,0.0,0.17513312746898912,0.0,0.0,0.1684790525672425,0.0
VIII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XII,0.0,0.0,0.1946356456884133,0.23042733920612118,0.0,0.0,0.17513312746898912,0.0,0.0,0.0,0.0,0.1944675073409834,0.0,0.0,0.18707883462952282,0.0
XIII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XV,0.0,0.0,0.18724058466439403,0.22167239491518909,0.0,0.0,0.1684790525672425,0.0,0.0,0.0,0.0,0.18707883462952282,0.0,0.0,0.1799708899696712,0.0
XVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
