chromosome,T0,T0_Frequency,Tend,Tend_Frequency,Delta,abs_delta,batch,batch_key,endpoint_time
I,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
II,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
III,1.0,0.27111795123130444,0.945633527104049,0.2502838081369573,-0.05436647289595098,0.05436647289595098,6,batch6,180
IV,0.9762497114424985,0.2583926232670423,1.0,0.2798897737902405,0.023750288557501498,0.023750288557501498,6,batch6,180
V,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
VI,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
VII,0.7259232699109385,0.1428695610420016,0.6974979786328328,0.13616733502598297,-0.02842529127810567,0.02842529127810567,6,batch6,180
VIII,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
IX,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
X,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
XI,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
XII,0.8587778685170528,0.19994933380577629,0.8415542221630321,0.19822171878453937,-0.01722364635402074,0.01722364635402074,6,batch6,180
XIII,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
XIV,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
XV,0.6862244609970756,0.12767053065387537,0.6956258800900341,0.13543736426227992,0.009401419092958552,0.009401419092958552,6,batch6,180
XVI,0.0,0.0,0.0,0.0,0.0,0.0,6,batch6,180
