batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable,Inverse_Fold_NO_CUT_over_Counts,Percent_of_Counts_plus_NO_CUT
6,0,1,DSB1,INTACT,CHRIII_L02,A_to_B,51283,23997,2.1370587990165437,213.70587990165438,0.46793284324240003,68.12300743889479
6,0,1,DSB1,INTACT,CHRIII_L03,A_to_B,38174,23997,1.5907821811059715,159.07821811059716,0.6286215748939068,61.40161811777195
6,0,1,DSB1,INTACT,CHRIII_L04,A_to_B,228463,23997,9.520481726882528,952.0481726882527,0.10503670178540946,90.49473183870712
6,0,1,DSB1,INTACT,CHRIV_L01,A_to_B,49541,23997,2.0644663916322874,206.44663916322872,0.48438666962717747,67.36789143028095
6,0,1,DSB1,INTACT,CHRIV_L03,A_to_B,32857,23997,1.3692128182689502,136.92128182689504,0.730346653681103,57.7918879938087
6,0,1,DSB1,INTACT,CHRIV_L06_2,A_to_B,54088,23997,2.253948410217944,225.39484102179438,0.4436658778287236,69.26810526989819
6,0,1,DSB1,INTACT,CHRIV_L10_2,A_to_B,39551,23997,1.648164353877568,164.8164353877568,0.6067356071907157,62.23799332787814
6,0,1,DSB1,INTACT,CHRIV_L12_2,A_to_B,44777,23997,1.865941576030337,186.59415760303372,0.5359224601916163,65.10745339808649
6,0,1,DSB1,INTACT,CHRIV_L13,A_to_B,29708,23997,1.2379880818435638,123.79880818435637,0.8077622189309277,55.317009589423705
6,0,1,DSB1,INTACT,CHRIV_L15_2,A_to_B,51410,23997,2.142351127224236,214.23511272242362,0.46677689165532,68.17669447133555
6,0,1,DSB1,INTACT,CHRVII_990K,A_to_B,55756,23997,2.3234570988040173,232.34570988040173,0.43039314154530456,69.91084974859879
6,0,1,DSB1,INTACT,CHRVII_L03,A_to_B,25406,23997,1.0587156727924323,105.87156727924324,0.9445406596866882,51.42602675950853
6,0,1,DSB1,INTACT,CHRVII_L06,A_to_B,37751,23997,1.5731549777055465,157.31549777055466,0.6356652803899234,61.137202824382975
6,0,1,DSB1,INTACT,CHRVII_L09,A_to_B,47770,23997,1.9906654998541484,199.06654998541484,0.5023445677203265,66.562626276701
6,0,1,DSB1,INTACT,CHRXII_L01,A_to_B,36766,23997,1.5321081801891903,153.21081801891904,0.6526954251210357,60.50721656271086
6,0,1,DSB1,INTACT,CHRXII_L05,A_to_B,115878,23997,4.828853606700838,482.88536067008374,0.20708848961839177,82.84396782841823
6,0,1,DSB1,INTACT,CHRXII_L07,A_to_B,37186,23997,1.549610367962662,154.9610367962662,0.6453235088474157,60.77832077537878
6,0,1,DSB1,INTACT,CHRXII_L12,A_to_B,43616,23997,1.8175605283993832,181.75605283993832,0.5501880044020543,64.50830461597621
6,0,1,DSB1,INTACT,CHRXV_L01,A_to_B,51209,23997,2.133975080218361,213.39750802183607,0.46860903356831807,68.09164162433848
6,0,1,DSB1,INTACT,CHRXV_L04,A_to_B,58,23997,0.0024169687877651372,0.24169687877651372,413.7413793103448,0.24111411348991893
6,0,1,DSB1,INTACT,CHRXV_L15,A_to_B,39981,23997,1.6660832604075508,166.6083260407551,0.6002100997974038,62.49179405420613
6,0,1,DSB1,INTACT,CHRXV_L17_2,A_to_B,50534,23997,2.1058465641538526,210.58465641538527,0.4748684054300075,67.80265929613181
6,0,1,DSB1,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_B,7649,23997,0.31874817685544027,31.874817685544027,3.1372728461236763,24.17051128104658
6,0,1,DSB1,INTACT,COMMON,A_to_B,170,23997,0.007084218860690919,0.708421886069092,141.15882352941176,0.7034385732610585
6,0,1,DSB1,INTACT,NO_CUT,A_to_B,23997,23997,1,100,1,50
6,0,1,DSB1,SSA,CHRIII_L02,A_to_B,1267,15119,0.0838018387459488,8.38018387459488,11.932912391475927,7.732210423532283
6,0,1,DSB1,SSA,CHRIII_L03,A_to_B,877,15119,0.05800648191017924,5.800648191017925,17.239452679589508,5.482620655163791
6,0,1,DSB1,SSA,CHRIII_L04,A_to_B,5996,15119,0.39658707586480585,39.65870758648059,2.5215143428952635,28.396874260004736
6,0,1,DSB1,SSA,CHRIV_L01,A_to_B,1356,15119,0.08968847145975263,8.968847145975262,11.149705014749262,8.230652503793626
