batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable
6,0,1,DSB2,INTACT,CHRIII_L03,C_to_D,96,21258,0.004515946937623483,0.4515946937623483
6,0,1,DSB2,INTACT,CHRIII_L04,C_to_D,348,21258,0.016370307648885127,1.6370307648885125
6,0,1,DSB2,INTACT,CHRIV_L01,C_to_D,61,21258,0.002869507949948255,0.28695079499482545
6,0,1,DSB2,INTACT,CHRIV_L03,C_to_D,407,21258,0.019145733370966225,1.9145733370966225
6,0,1,DSB2,INTACT,CHRIV_L06_2,C_to_D,34,21258,0.0015993978737416502,0.15993978737416503
6,0,1,DSB2,INTACT,CHRIV_L10_2,C_to_D,184,21258,0.008655564963778343,0.8655564963778343
6,0,1,DSB2,INTACT,CHRIV_L12_2,C_to_D,186,21258,0.008749647191645497,0.8749647191645498
6,0,1,DSB2,INTACT,CHRIV_L13,C_to_D,73,21258,0.00343400131715119,0.343400131715119
6,0,1,DSB2,INTACT,CHRIV_L15_2,C_to_D,295,21258,0.013877128610405494,1.3877128610405494
6,0,1,DSB2,INTACT,CHRVII_990K,C_to_D,48,21258,0.0022579734688117415,0.22579734688117414
6,0,1,DSB2,INTACT,CHRVII_L03,C_to_D,764,21258,0.03593941104525355,3.593941104525355
6,0,1,DSB2,INTACT,CHRVII_L06,C_to_D,19,21258,8.93781164737981e-4,0.0893781164737981
6,0,1,DSB2,INTACT,CHRVII_L09,C_to_D,230,21258,0.010819456204722928,1.0819456204722928
6,0,1,DSB2,INTACT,CHRXII_L01,C_to_D,1201,21258,0.05649637783422711,5.649637783422712
6,0,1,DSB2,INTACT,CHRXII_L05,C_to_D,47,21258,0.0022109323548781634,0.22109323548781634
6,0,1,DSB2,INTACT,CHRXII_L07,C_to_D,121,21258,0.005691974785962932,0.5691974785962931
6,0,1,DSB2,INTACT,CHRXII_L12,C_to_D,119,21258,0.0055978925580957755,0.5597892558095776
6,0,1,DSB2,INTACT,CHRXV_L01,C_to_D,67,21258,0.0031517546335497223,0.31517546335497226
6,0,1,DSB2,INTACT,CHRXV_L04,C_to_D,113,21258,0.005315645874494308,0.5315645874494308
6,0,1,DSB2,INTACT,CHRXV_L15,C_to_D,234,21258,0.01100762066045724,1.100762066045724
6,0,1,DSB2,INTACT,CHRXV_L17_2,C_to_D,43,21258,0.002022767899143852,0.20227678991438516
