batch,replicate,DSB,n_obs,mean_log2fc,p_value,significance
4,Rep 1,DSB1,24,-0.09519826228142168,0.44770096292145345,ns
4,Rep 1,DSB2,2,0.7211417521043696,0.48529136770673453,ns
4,Rep 2,DSB1,24,-0.9634465001127615,7.533238020433388e-19,***
4,Rep 2,DSB2,2,-1.0158544104263922,0.21621921102390948,ns
6,Rep 1,DSB1,24,-0.6888988778816807,8.200924246987986e-5,***
6,Rep 1,DSB2,2,-0.7034313811933397,0.4271108963235521,ns
8,Rep 1,DSB1,24,-1.7686037208306817,0.00124687087245827,**
8,Rep 1,DSB2,2,-0.822987371448813,0.8927253203528345,ns
