DSB,CIS,TRANS,total,trans_fraction,paired_dsb,pair_same_chrom,dsb_pair_distance_mb,pair_distance_type,induced_time_point,distance_mb,freq_t120,distance_mb_plot,distance_label
DSB1,942807,0,942807,0,DSB2,FALSE,NA,inter_chr,120,NA,0,0.8791734,DSB1↔DSB2 are inter-chromosomal (proxy x shown)
DSB2,539805,0,539805,0,DSB1,FALSE,NA,inter_chr,120,NA,0,0.8791734,DSB1↔DSB2 are inter-chromosomal (proxy x shown)
