DSB,channel,distance_mb,freq_t120
DSB1,CIS,1e-6,0.22434941718622933
DSB1,CIS,0.220727,0.0692193006234752
DSB1,CIS,0.247383,0.1246645432366495
DSB1,CIS,0.3622355,0.1385605855245324
DSB1,CIS,0.4216805,0.19087150989428028
DSB1,CIS,0.4841915,0.11553266467877474
DSB1,CIS,0.627981,0.13680197885605855
DSB1,TRANS,0.8791734,0
DSB2,CIS,1e-6,1
DSB2,TRANS,0.8791734,0
