batch,replicate,DSB,n_obs,mean_log2fc,p_value,significance
4,Rep 1,TRANS,26,2.7686063112989685,3.487491353308172e-8,***
4,Rep 2,TRANS,24,-0.38362151972458497,7.960944292360602e-6,***
6,Rep 1,TRANS,24,-0.36436619842210294,0.34370160214133116,ns
8,Rep 1,TRANS,24,-1.5516626424343054,0.012476338274413756,*
