DSB,n_rows_induced,n_loci_before_join,total_count_induced,n_rows_with_coords,n_loci_with_coords,n_batch_replicate,coord_coverage
DSB1,96,24,1097786,0,0,0,0
DSB2,8,4,660814,0,0,0,0
