chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta,batch,batch_key
I,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
II,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
III,0.876178043251544,0.2407392656790343,0.8873864678073512,0.25562160051977645,0.011208424555807173,0.011208424555807173,4,batch4
IV,1.0,0.3135899963690494,1.0,0.3246175132116751,0.0,0.0,4,batch4
V,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
VI,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
VII,0.6233441369508629,0.12184787454910524,0.6323728830968037,0.1298130708333391,0.009028746145940847,0.009028746145940847,4,batch4
VIII,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
IX,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
X,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
XI,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
XII,0.7489843931595153,0.1759169701941369,0.6887740921098547,0.15400171327595744,-0.06021030104966052,0.06021030104966052,4,batch4
XIII,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
XIV,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
XV,0.6867705115381949,0.14790589320867414,0.6471387516231667,0.1359461021592519,-0.03963175991502821,0.03963175991502821,4,batch4
XVI,0.0,0.0,0.0,0.0,0.0,0.0,4,batch4
