chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.36440655440594816,0,0,0.14209495582783832,0,0,0,0,0.18155076835405703,0,0,0.14659801671794764,0
IV,0,0,0.36440655440594816,0,0,0,0.1763115392641959,0,0,0,0,0.22526834423231631,0,0,0.18189894095843698,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.14209495582783832,0.1763115392641959,0,0,0,0,0,0,0,0.08784006499356967,0,0,0.0709288064885525,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.18155076835405703,0.22526834423231631,0,0,0.08784006499356967,0,0,0,0,0,0,0,0.09062376100130444,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.14659801671794764,0.18189894095843698,0,0,0.0709288064885525,0,0,0,0,0.09062376100130444,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
