chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta,batch,batch_key
I,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
II,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
III,0.9074648907560303,0.24240336165474133,0.6744568537524546,0.22425610590722903,-0.23300803700357575,0.23300803700357575,8,batch8
IV,1.0,0.2943601228012969,1.0,0.4929875277076928,0.0,0.0,8,batch8
V,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
VI,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
VII,0.7236072708973831,0.15412916284707054,0.13693725943144877,0.009244409941060502,-0.5866700114659343,0.5866700114659343,8,batch8
VIII,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
IX,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
X,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
XI,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
XII,0.779411634220695,0.1788186219922603,0.44064648615816804,0.09572305586483754,-0.338765148062527,0.338765148062527,8,batch8
XIII,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
XIV,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
XV,0.6652945087425141,0.1302887307046309,0.6005295136973,0.17778890057918015,-0.06476499504521405,0.06476499504521405,8,batch8
XVI,0.0,0.0,0.0,0.0,0.0,0.0,8,batch8
