chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.1992225436942576,0,0,0.2168725909596599,0,0,0,0,0.12837712242620436,0,0,0.16775095760909303,0
IV,0,0,0.1992225436942576,0,0,0,0.2777875602830983,0,0,0,0,0.16443556780106564,0,0,0.21486868876874912,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.2168725909596599,0.2777875602830983,0,0,0,0,0,0,0,0.17900367585743182,0,0,0.23390490044589557,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.12837712242620436,0.16443556780106564,0,0,0.17900367585743182,0,0,0,0,0,0,0,0.13845935029298995,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.16775095760909303,0.21486868876874912,0,0,0.23390490044589557,0,0,0,0,0.13845935029298995,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
