chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.3334592447382822,0,0,0.11673511776141056,0,0,0,0,0.1382032473436954,0,0,0.11585634012310012,0
IV,0,0,0.3334592447382822,0,0,0,0.1990029856234724,0,0,0,0,0.23560055766994145,0,0,0.19750489852614878,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.11673511776141056,0.1990029856234724,0,0,0,0,0,0,0,0.08247742198852645,0,0,0.06914115578352278,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.1382032473436954,0.23560055766994145,0,0,0.08247742198852645,0,0,0,0,0,0,0,0.0818565350138189,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.11585634012310012,0.19750489852614878,0,0,0.06914115578352278,0,0,0,0,0.0818565350138189,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
