chromosome,T0,T0_Frequency,T120,T120_Frequency,Delta,abs_delta,batch
I,-0,0,-0,0,0,0,4
II,-0,0,-0,0,0,0,4
III,0.6128011372490769,0.15846239954896618,0.5651374327601844,0.15301846394448512,-0.047663704488892567,0.047663704488892567,4
IV,0.6993995213344388,0.20641334144976325,0.6368422944373324,0.19431193918070325,-0.06255722689710641,0.06255722689710641,4
V,-0,0,-0,0,0,0,4
VI,-0,0,-0,0,0,0,4
VII,1,0.4219753701759332,1,0.4791105004446507,0,0,4
VIII,-0,0,-0,0,0,0,4
IX,-0,0,-0,0,0,0,4
X,-0,0,-0,0,0,0,4
XI,-0,0,-0,0,0,0,4
XII,0.5238393260627301,0.11579326526971469,0.4386404731682307,0.09218347848130114,-0.08519885289449941,0.08519885289449941,4
XIII,-0,0,-0,0,0,0,4
XIV,-0,0,-0,0,0,0,4
XV,0.48032696703642114,0.09735562355562274,0.41212532740300867,0.08137561794885981,-0.06820163963341247,0.06820163963341247,4
XVI,-0,0,-0,0,0,0,4
