chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.18085561474571246,0,0,0.25858698673491215,0,0,0,0,0.1354580328598085,0,0,0.12420630305346761,0
IV,0,0,0.18085561474571246,0,0,0,0.29512937191597033,0,0,0,0,0.15460037128577872,0,0,0.14175859609576194,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.25858698673491215,0.29512937191597033,0,0,0,0,0,0,0,0.22104729352803187,0,0,0.20268614972067703,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.1354580328598085,0.15460037128577872,0,0,0.22104729352803187,0,0,0,0,0,0,0,0.10617497607192906,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.12420630305346761,0.14175859609576194,0,0,0.20268614972067703,0,0,0,0,0.10617497607192906,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
