chromosome,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0.31442295750592597,0,0,0.06877388486083406,0,0,0,0,0.13854937139244528,0,0,0.2104891968838622,0
IV,0,0,0.31442295750592597,0,0,0,0.10196928755071419,0,0,0,0,0.20542362438991077,0,0,0.31208697148345355,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0.06877388486083406,0.10196928755071419,0,0,0,0,0,0,0,0.044932408255274045,0,0,0.06826293351357754,0
VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XII,0,0,0.13854937139244528,0.20542362438991077,0,0,0.044932408255274045,0,0,0,0,0,0,0,0.13752002735992822,0
XIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XV,0,0,0.2104891968838622,0.31208697148345355,0,0,0.06826293351357754,0,0,0,0,0.13752002735992822,0,0,0,0
XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
