batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Counts,Percent_of_Uncuttable
8,0,1,DSB2,INTACT,CHRVII_L06,C_to_D,83,3550,2.3380281690140845
8,0,1,DSB2,INTACT,CHRVII_L09,C_to_D,12,3550,0.3380281690140845
8,0,1,DSB2,INTACT,CHRXII_L01,C_to_D,1,3550,0.028169014084507043
8,0,1,DSB2,INTACT,CHRXII_L05,C_to_D,51,3550,1.4366197183098592
8,0,1,DSB2,INTACT,CHRXII_L07,C_to_D,96,3550,2.704225352112676
8,0,1,DSB2,INTACT,CHRXII_L12,C_to_D,27,3550,0.7605633802816901
8,0,1,DSB2,INTACT,CHRXV_L01,C_to_D,7,3550,0.19718309859154928
8,0,1,DSB2,INTACT,CHRXV_L04,C_to_D,95,3550,2.676056338028169
8,0,1,DSB2,INTACT,CHRXV_L15,C_to_D,38,3550,1.0704225352112675
8,0,1,DSB2,INTACT,CHRXV_L17_2,C_to_D,30,3550,0.8450704225352113
8,0,1,DSB2,INTACT,CHRXV_L18_1PERCENT_CONTROL,C_to_D,5,3550,0.14084507042253522
8,0,1,DSB2,INTACT,COMMON,C_to_D,1044235,3550,29415.070422535213
8,0,1,DSB2,INTACT,NO_CUT,C_to_D,3550,3550,100
8,0,1,DSB2,SSA,CHRIII_L02,C_to_D,1,1624,0.06157635467980296
8,0,1,DSB2,SSA,CHRIII_L03,C_to_D,2,1624,0.12315270935960591
8,0,1,DSB2,SSA,CHRIII_L04,C_to_D,2,1624,0.12315270935960591
8,0,1,DSB2,SSA,CHRIV_L06_2,C_to_D,1,1624,0.06157635467980296
8,0,1,DSB2,SSA,CHRIV_L12_2,C_to_D,4,1624,0.24630541871921183
8,0,1,DSB2,SSA,CHRIV_L15_2,C_to_D,3,1624,0.18472906403940886
8,0,1,DSB2,SSA,CHRVII_L06,C_to_D,3,1624,0.18472906403940886
8,0,1,DSB2,SSA,CHRXV_L01,C_to_D,1,1624,0.06157635467980296
8,0,1,DSB2,SSA,CHRXV_L04,C_to_D,1,1624,0.06157635467980296
8,0,1,DSB2,SSA,COMMON,C_to_D,6435,1624,396.24384236453204
8,0,1,DSB2,SSA,NO_CUT,C_to_D,1624,1624,100
8,0,1,TRANS,INTACT,CHRIII_L02,A_to_D,26,73,35.61643835616438
8,0,1,TRANS,INTACT,CHRIII_L02,C_to_B,2,73,2.73972602739726
8,0,1,TRANS,INTACT,CHRIII_L03,A_to_D,15,73,20.54794520547945
8,0,1,TRANS,INTACT,CHRIII_L04,A_to_D,52,73,71.23287671232876
8,0,1,TRANS,INTACT,CHRIV_L01,A_to_D,28,73,38.35616438356164
8,0,1,TRANS,INTACT,CHRIV_L03,A_to_D,27,73,36.986301369863014
8,0,1,TRANS,INTACT,CHRIV_L06_2,A_to_D,30,73,41.0958904109589
8,0,1,TRANS,INTACT,CHRIV_L10_2,A_to_D,34,73,46.57534246575342
8,0,1,TRANS,INTACT,CHRIV_L12_2,A_to_D,39,73,53.42465753424658
8,0,1,TRANS,INTACT,CHRIV_L13,A_to_D,12,73,16.438356164383563
8,0,1,TRANS,INTACT,CHRIV_L15_2,A_to_D,20,73,27.397260273972602
8,0,1,TRANS,INTACT,CHRIV_L15_2,C_to_B,2,73,2.73972602739726
8,0,1,TRANS,INTACT,CHRVII_990K,A_to_D,17,73,23.28767123287671
8,0,1,TRANS,INTACT,CHRVII_L03,A_to_D,17,73,23.28767123287671
8,0,1,TRANS,INTACT,CHRVII_L06,A_to_D,32,73,43.83561643835616
8,0,1,TRANS,INTACT,CHRVII_L09,A_to_D,29,73,39.726027397260275
8,0,1,TRANS,INTACT,CHRXII_L01,A_to_D,18,73,24.65753424657534
8,0,1,TRANS,INTACT,CHRXII_L05,A_to_D,24,73,32.87671232876713
8,0,1,TRANS,INTACT,CHRXII_L07,A_to_D,32,73,43.83561643835616
8,0,1,TRANS,INTACT,CHRXII_L12,A_to_D,36,73,49.31506849315068
8,0,1,TRANS,INTACT,CHRXV_L01,A_to_D,46,73,63.013698630136986
8,0,1,TRANS,INTACT,CHRXV_L15,A_to_D,16,73,21.91780821917808
8,0,1,TRANS,INTACT,CHRXV_L17_2,A_to_D,27,73,36.986301369863014
8,0,1,TRANS,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_D,4,73,5.47945205479452
8,0,1,TRANS,INTACT,COMMON,C_to_B,422,73,578.082191780822
8,0,1,TRANS,INTACT,NO_CUT,A_to_D,65,73,89.04109589041096
8,0,1,TRANS,INTACT,NO_CUT,C_to_B,8,73,10.95890410958904
8,0,1,TRANS,SSA,CHRIII_L02,A_to_D,4,20,20
8,0,1,TRANS,SSA,CHRIII_L02,C_to_B,1,20,5
8,0,1,TRANS,SSA,CHRIII_L04,A_to_D,4,20,20
8,0,1,TRANS,SSA,CHRIV_L01,A_to_D,3,20,15
8,0,1,TRANS,SSA,CHRIV_L03,A_to_D,5,20,25
8,0,1,TRANS,SSA,CHRIV_L06_2,A_to_D,4,20,20
8,0,1,TRANS,SSA,CHRIV_L12_2,A_to_D,6,20,30
8,0,1,TRANS,SSA,CHRIV_L13,A_to_D,3,20,15
8,0,1,TRANS,SSA,CHRIV_L15_2,A_to_D,2,20,10
8,0,1,TRANS,SSA,CHRVII_990K,A_to_D,2,20,10
8,0,1,TRANS,SSA,CHRVII_L03,A_to_D,3,20,15
8,0,1,TRANS,SSA,CHRVII_L06,A_to_D,11,20,55
8,0,1,TRANS,SSA,CHRVII_L09,A_to_D,2,20,10
8,0,1,TRANS,SSA,CHRXII_L01,A_to_D,1,20,5
8,0,1,TRANS,SSA,CHRXII_L05,A_to_D,6,20,30
8,0,1,TRANS,SSA,CHRXII_L07,A_to_D,6,20,30
8,0,1,TRANS,SSA,CHRXII_L12,A_to_D,11,20,55
8,0,1,TRANS,SSA,CHRXV_L01,A_to_D,3,20,15
8,0,1,TRANS,SSA,CHRXV_L15,A_to_D,2,20,10
8,0,1,TRANS,SSA,CHRXV_L17_2,A_to_D,8,20,40
8,0,1,TRANS,SSA,COMMON,C_to_B,97,20,485
8,0,1,TRANS,SSA,NO_CUT,A_to_D,17,20,85
8,0,1,TRANS,SSA,NO_CUT,C_to_B,3,20,15
8,180,1,DSB1,INTACT,CHRIII_L02,A_to_B,4458,11814,37.73489080751651
8,180,1,DSB1,INTACT,CHRIII_L03,A_to_B,17067,11814,144.46419502285423
8,180,1,DSB1,INTACT,CHRIII_L04,A_to_B,17488,11814,148.02776367022176
8,180,1,DSB1,INTACT,CHRIV_L01,A_to_B,6459,11814,54.67242254951752
8,180,1,DSB1,INTACT,CHRIV_L03,A_to_B,14814,11814,125.39360081259522
8,180,1,DSB1,INTACT,CHRIV_L06_2,A_to_B,9638,11814,81.58117487726426
8,180,1,DSB1,INTACT,CHRIV_L10_2,A_to_B,7560,11814,63.99187404773997
8,180,1,DSB1,INTACT,CHRIV_L12_2,A_to_B,8425,11814,71.3136956153716
8,180,1,DSB1,INTACT,CHRIV_L13,A_to_B,6711,11814,56.80548501777552
8,180,1,DSB1,INTACT,CHRIV_L15_2,A_to_B,5442,11814,46.06399187404774
8,180,1,DSB1,INTACT,CHRVII_990K,A_to_B,4919,11814,41.637040799051974
8,180,1,DSB1,INTACT,CHRVII_L03,A_to_B,3982,11814,33.70577281191807
8,180,1,DSB1,INTACT,CHRVII_L06,A_to_B,17018,11814,144.04943287624852
8,180,1,DSB1,INTACT,CHRVII_L09,A_to_B,10134,11814,85.77958354494668
8,180,1,DSB1,INTACT,CHRXII_L01,A_to_B,6259,11814,52.97951582867784
8,180,1,DSB1,INTACT,CHRXII_L05,A_to_B,6652,11814,56.30607753512781
8,180,1,DSB1,INTACT,CHRXII_L07,A_to_B,9162,11814,77.55205688166582
8,180,1,DSB1,INTACT,CHRXII_L12,A_to_B,25576,11814,216.4889114609785
8,180,1,DSB1,INTACT,CHRXV_L01,A_to_B,19659,11814,166.40426612493653
8,180,1,DSB1,INTACT,CHRXV_L04,A_to_B,11,11814,0.0931098696461825
8,180,1,DSB1,INTACT,CHRXV_L15,A_to_B,10683,11814,90.4266124936516
8,180,1,DSB1,INTACT,CHRXV_L17_2,A_to_B,9245,11814,78.2546131708143
8,180,1,DSB1,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_B,1318,11814,11.156255290333503
8,180,1,DSB1,INTACT,COMMON,A_to_B,24,11814,0.2031488065007618
8,180,1,DSB1,INTACT,NO_CUT,A_to_B,11814,11814,100
8,180,1,DSB1,SSA,CHRIII_L02,A_to_B,25254,127246,19.846596356663472
8,180,1,DSB1,SSA,CHRIII_L03,A_to_B,81255,127246,63.856624176791414
8,180,1,DSB1,SSA,CHRIII_L04,A_to_B,53064,127246,41.70190025619666
8,180,1,DSB1,SSA,CHRIV_L01,A_to_B,41666,127246,32.744447762601574
8,180,1,DSB1,SSA,CHRIV_L03,A_to_B,77241,127246,60.702104584819956
8,180,1,DSB1,SSA,CHRIV_L06_2,A_to_B,53336,127246,41.91565943133772
8,180,1,DSB1,SSA,CHRIV_L10_2,A_to_B,35991,127246,28.28458261949295
8,180,1,DSB1,SSA,CHRIV_L12_2,A_to_B,33400,127246,26.24836930041023
8,180,1,DSB1,SSA,CHRIV_L13,A_to_B,32377,127246,25.44441475567012
8,180,1,DSB1,SSA,CHRIV_L15_2,A_to_B,33552,127246,26.367822957106707
8,180,1,DSB1,SSA,CHRVII_990K,A_to_B,26341,127246,20.70084717790736
8,180,1,DSB1,SSA,CHRVII_L03,A_to_B,24310,127246,19.104726278232715
8,180,1,DSB1,SSA,CHRVII_L06,A_to_B,95233,127246,74.84164531694513
8,180,1,DSB1,SSA,CHRVII_L09,A_to_B,63017,127246,49.52375713185483
8,180,1,DSB1,SSA,CHRXII_L01,A_to_B,39101,127246,30.728667305848514
8,180,1,DSB1,SSA,CHRXII_L05,A_to_B,24443,127246,19.20924822784213
8,180,1,DSB1,SSA,CHRXII_L07,A_to_B,36781,127246,28.905427282586487
8,180,1,DSB1,SSA,CHRXII_L12,A_to_B,114316,127246,89.83858038759568
8,180,1,DSB1,SSA,CHRXV_L01,A_to_B,164758,127246,129.4799050657781
8,180,1,DSB1,SSA,CHRXV_L04,A_to_B,63,127246,0.049510397183408515
8,180,1,DSB1,SSA,CHRXV_L15,A_to_B,31676,127246,24.893513352089652
8,180,1,DSB1,SSA,CHRXV_L17_2,A_to_B,53538,127246,42.07440705405278
8,180,1,DSB1,SSA,CHRXV_L18_1PERCENT_CONTROL,A_to_B,9409,127246,7.394338525376043
8,180,1,DSB1,SSA,COMMON,A_to_B,85,127246,0.06679974223158291
